"idsensore","tipologia","unit_dimisura","idstazione","nomestazione","quota","provincia","datastart","datastop","storico","cgb_nord","cgb_est","lng","lat","location"
"11663","Velocità Vento","m/s","835","Valdisotto Oga S. Colombano","2300","SO","2003-01-01T00:00:00.000",,"N","5145272","600293","10.305951823970043","46.45356305894081","
,  
(46.45356305894081, 10.305951823970043)"
"11664","Velocità Vento","m/s","836","Aprica","1950","SO","2003-01-22T00:00:00.000",,"N","5109097","588704","10.148256664341748","46.1296816331299","
,  
(46.1296816331299, 10.148256664341748)"
"11665","Velocità Vento","m/s","846","Edolo Pantano d`Avio","2108","BS","2003-01-01T00:00:00.000",,"N","5114768","613679","10.472817754713557","46.1770002163179","
,  
(46.1770002163179, 10.472817754713557)"
"11666","Velocità Vento","m/s","847","Carona Carisole","1954","BG","2003-01-01T00:00:00.000",,"N","5098634","561423","9.793799590056548","46.03852339399498","
,  
(46.03852339399498, 9.793799590056548)"
"11667","Velocità Vento","m/s","848","Livigno La Vallaccia","2660","SO","2003-01-20T00:00:00.000",,"N","5147768","591251","10.188728513795667","46.47730494291044","
,  
(46.47730494291044, 10.188728513795667)"
"11668","Velocità Vento","m/s","900","Chiari","140","BS","2004-05-19T00:00:00.000",,"N","5041392","573236","9.937768713461718","45.522213315999174","
,  
(45.522213315999174, 9.937768713461718)"
"11669","Velocità Vento","m/s","998","Laveno-Mombello p.zza Matteotti","207","VA","2003-07-16T00:00:00.000",,"N","5084109","470426","8.61868470587428","45.909913257580605","
,  
(45.909913257580605, 8.61868470587428)"
"11670","Velocità Vento","m/s","999","Laveno-Mombello Poggio S.Elsa","950","VA","2003-07-16T00:00:00.000",,"N","5084222","471939","8.638185708619893","45.91099372061516","
,  
(45.91099372061516, 8.638185708619893)"
"11671","Velocità Vento","m/s","1273","Val Masino Bagni","1191","SO","2012-04-02T00:00:00.000","2021-02-12T00:00:00.000","S","5121270","545980","9.596430583118106","46.24345094940859","
,  
(46.24345094940859, 9.596430583118106)"
"117","Altezza Neve","cm","58","Carona Lago Fregabolgia","1955","BG","2001-12-01T00:00:00.000",,"N","5097125","566799","9.863057198828766","46.02443987306136","
,  
(46.02443987306136, 9.863057198828766)"
